,Prevalence_of_Most_Common_Pitch,Prevalence_of_Most_Common_Pitch_Class,Relative_Prevalence_of_Top_Pitches,Relative_Prevalence_of_Top_Pitch_Classes,Pitch_Variability,Pitch_Class_Variability,Distance_Between_Most_Prevalent_Melodic_Intervals,Prevalence_of_Most_Common_Melodic_Interval,Relative_Prevalence_of_Most_Common_Melodic_Intervals,Repeated_Notes,Chromatic_Motion,Stepwise_Motion,Melodic_Thirds,Melodic_Perfect_Fourths,Melodic_Tritones,Melodic_Perfect_Fifths,Melodic_Sixths,Melodic_Sevenths,Melodic_Octaves,Melodic_Large_Intervals,Direction_of_Melodic_Motion,Average_Interval_Spanned_by_Melodic_Arcs,Prevalence_of_Very_Short_Rhythmic_Values,Prevalence_of_Short_Rhythmic_Values,Prevalence_of_Medium_Rhythmic_Values,Prevalence_of_Long_Rhythmic_Values,Prevalence_of_Very_Long_Rhythmic_Values,Prevalence_of_Most_Common_Rhythmic_Value,Relative_Prevalence_of_Most_Common_Rhythmic_Values,Rhythmic_Value_Variability,Variability_in_Rhythmic_Value_Run_Lengths,Rhythmic_Variability_-_Tempo_Standardized,Rhythmic_Variability
"/Users/aybukeekiz/Desktop/maestro-v3.0.0/2013/ORIG-MIDI_01_7_7_13_Group__MID--AUDIO_11_R1_2013_wav--1.midi",0.06481, 0.1545, 0.9154, 0.9613, 9.915, 3.354, 1.0, 0.118, 0.7511, 0.002026, 0.08865, 0.2067, 0.09777, 0.0309, 0.01925, 0.04053, 0.09473, 0.04053, 0.0309, 0.4367, 0.4635, 17.11, 0.2303, 0.6032, 0.6859, 0.1147, 0.00997, 0.3729, 0.4091, 1.072, 0.891, 0.007953, 0.007953
"/Users/aybukeekiz/Desktop/maestro-v3.0.0/2013/ORIG-MIDI_03_7_10_13_Group_MID--AUDIO_18_R3_2013_wav--2.midi",0.05495, 0.1012, 0.9091, 0.9718, 13.78, 3.401, 10.0, 0.1245, 0.9164, 0.0132, 0.04282, 0.1673, 0.1858, 0.08754, 0.0305, 0.08666, 0.06745, 0.03695, 0.1141, 0.2106, 0.4926, 16.26, 0.6987, 0.8056, 0.2621, 0.06166, 0.01213, 0.4933, 1.0, 1.072, 2.845, 0.006479, 0.006479
"/Users/aybukeekiz/Desktop/maestro-v3.0.0/2013/ORIG-MIDI_02_7_6_13_Group__MID--AUDIO_06_R1_2013_wav--4.midi",0.0571, 0.1803, 0.9388, 0.9544, 12.7, 3.413, 9.0, 0.1222, 0.9754, 0.008602, 0.06882, 0.1097, 0.1991, 0.07269, 0.03183, 0.04473, 0.08043, 0.02301, 0.1191, 0.3108, 0.4731, 19.44, 0.7963, 0.9129, 0.1994, 0.01623, 0.001438, 0.6127, 1.0, 0.4782, 6.003, 0.006463, 0.006463
"/Users/aybukeekiz/Desktop/maestro-v3.0.0/2013/ORIG-MIDI_02_7_8_13_Group__MID--AUDIO_14_R2_2013_wav--4.midi",0.04148, 0.1449, 0.9023, 0.9452, 16.67, 3.426, 9.0, 0.1219, 0.7816, 0.02, 0.07408, 0.1341, 0.1556, 0.05153, 0.04221, 0.0473, 0.0968, 0.03662, 0.1219, 0.2939, 0.4721, 21.71, 0.8358, 0.8981, 0.1501, 0.02868, 0.003241, 0.7441, 1.0, 0.5896, 16.24, 0.006441, 0.006441
"/Users/aybukeekiz/Desktop/maestro-v3.0.0/2013/ORIG-MIDI_03_7_8_13_Group__MID--AUDIO_19_R2_2013_wav--3.midi",0.04737, 0.1388, 0.9213, 0.9422, 12.73, 3.443, 5.0, 0.2106, 0.3475, 0.02251, 0.01727, 0.0491, 0.1052, 0.07141, 0.03551, 0.07316, 0.09237, 0.04347, 0.2106, 0.2967, 0.457, 19.32, 0.578, 0.7385, 0.4043, 0.04047, 0.004289, 0.3612, 1.0, 0.6806, 1.61, 0.006606, 0.006606
"/Users/aybukeekiz/Desktop/maestro-v3.0.0/2013/ORIG-MIDI_03_7_10_13_Group_MID--AUDIO_18_R3_2013_wav--3.midi",0.07277, 0.1648, 0.8996, 0.9371, 11.18, 3.322, 9.0, 0.1277, 0.9872, 0.01284, 0.03293, 0.09906, 0.2056, 0.05998, 0.047, 0.05493, 0.1068, 0.04085, 0.1277, 0.2451, 0.4484, 16.77, 0.7772, 0.8497, 0.1964, 0.04647, 0.005577, 0.6153, 1.0, 0.7985, 7.85, 0.006462, 0.006462
"/Users/aybukeekiz/Desktop/maestro-v3.0.0/2013/ORIG-MIDI_01_7_6_13_Group__MID--AUDIO_03_R1_2013_wav--3.midi",0.06915, 0.1504, 0.9357, 0.8199, 13.53, 3.409, 1.0, 0.2274, 0.5193, 0.002094, 0.06156, 0.16, 0.3455, 0.04481, 0.02219, 0.01884, 0.03811, 0.02178, 0.0201, 0.3266, 0.4838, 17.19, 0.911, 0.9664, 0.0837, 0.00647, 0.003235, 0.6021, 1.0, 0.4953, 2.897, 0.006544, 0.006544
"/Users/aybukeekiz/Desktop/maestro-v3.0.0/2013/ORIG-MIDI_02_7_10_13_Group_MID--AUDIO_12_R3_2013_wav--4.midi",0.04112, 0.1386, 0.7721, 0.8135, 16.22, 3.38, 9.0, 0.1265, 0.9238, 0.0115, 0.04158, 0.1071, 0.1856, 0.05618, 0.03185, 0.05114, 0.09511, 0.03875, 0.1265, 0.2963, 0.4883, 18.63, 0.9035, 0.9424, 0.09009, 0.01148, 8.443E-4, 0.7922, 1.0, 0.3787, 12.29, 0.006456, 0.006456
"/Users/aybukeekiz/Desktop/maestro-v3.0.0/2013/ORIG-MIDI_01_7_6_13_Group__MID--AUDIO_04_R1_2013_wav--2.midi",0.07381, 0.1907, 0.8494, 0.864, 11.58, 3.491, 9.0, 0.1052, 0.9385, 0.001469, 0.08519, 0.1836, 0.1751, 0.04847, 0.02761, 0.05112, 0.07902, 0.04289, 0.1052, 0.2855, 0.4422, 16.24, 0.8629, 0.9253, 0.1331, 0.01482, 0.0, 0.5993, 1.0, 0.3534, 4.759, 0.006718, 0.006718
"/Users/aybukeekiz/Desktop/maestro-v3.0.0/2013/ORIG-MIDI_03_7_8_13_Group__MID--AUDIO_18_R2_2013_wav--3.midi",0.06086, 0.1557, 0.8256, 0.8, 11.41, 3.348, 1.0, 0.09123, 0.8203, 0.005702, 0.07484, 0.1661, 0.09052, 0.05488, 0.02994, 0.05203, 0.07056, 0.0449, 0.04348, 0.4419, 0.5068, 20.15, 0.3885, 0.6051, 0.5633, 0.0913, 0.01345, 0.2166, 0.9346, 1.201, 0.7035, 0.006363, 0.006363
"/Users/aybukeekiz/Desktop/maestro-v3.0.0/2013/ORIG-MIDI_02_7_6_13_Group__MID--AUDIO_08_R1_2013_wav--2.midi",0.08738, 0.2168, 0.7469, 0.6135, 12.2, 3.388, 9.0, 0.1446, 0.8107, 0.01886, 0.07507, 0.1195, 0.2189, 0.07729, 0.03957, 0.04031, 0.07101, 0.02663, 0.1172, 0.2707, 0.484, 15.91, 0.821, 0.8784, 0.1427, 0.05777, 0.01854, 0.6227, 1.0, 1.313, 4.572, 0.006458, 0.006458
"/Users/aybukeekiz/Desktop/maestro-v3.0.0/2013/ORIG-MIDI_01_7_10_13_Group_MID--AUDIO_08_R3_2013_wav--3.midi",0.04469, 0.1406, 1.0, 0.9739, 14.19, 3.417, 9.0, 0.1037, 0.7062, 0.009683, 0.05749, 0.1239, 0.1412, 0.06496, 0.04176, 0.04821, 0.09239, 0.03752, 0.1037, 0.3367, 0.4777, 20.37, 0.693, 0.8261, 0.289, 0.04275, 0.003289, 0.4506, 1.0, 0.6831, 2.997, 0.006353, 0.006353
"/Users/aybukeekiz/Desktop/maestro-v3.0.0/2013/ORIG-MIDI_01_7_6_13_Group__MID--AUDIO_01_R1_2013_wav--3.midi",0.07196, 0.1765, 0.9206, 0.9935, 13.15, 3.287, 3.0, 0.1099, 0.8901, 0.008454, 0.01268, 0.05737, 0.1316, 0.05072, 0.05495, 0.07729, 0.1969, 0.05978, 0.09783, 0.2651, 0.4458, 20.03, 0.5751, 0.7076, 0.3804, 0.07539, 0.007424, 0.3604, 1.0, 0.9063, 1.322, 0.00651, 0.00651
"/Users/aybukeekiz/Desktop/maestro-v3.0.0/2013/ORIG-MIDI_03_7_6_13_Group__MID--AUDIO_10_R1_2013_wav--3.midi",0.08673, 0.2071, 0.8852, 0.9977, 11.52, 3.429, 5.0, 0.1157, 0.5868, 9.565E-4, 0.003348, 0.03443, 0.1105, 0.05165, 0.02248, 0.06791, 0.08417, 0.01722, 0.1157, 0.495, 0.5251, 18.74, 0.8777, 0.9659, 0.1204, 0.00237, 9.479E-4, 0.4839, 1.0, 0.2837, 1.564, 0.006491, 0.006491
"/Users/aybukeekiz/Desktop/maestro-v3.0.0/2013/ORIG-MIDI_02_7_7_13_Group__MID--AUDIO_19_R1_2013_wav--1.midi",0.05887, 0.1497, 0.978, 0.9914, 10.42, 3.417, 1.0, 0.1859, 0.6228, 0.008084, 0.1158, 0.3017, 0.09417, 0.03758, 0.01966, 0.03059, 0.06118, 0.03976, 0.03496, 0.3723, 0.5132, 16.72, 0.7999, 0.8523, 0.1835, 0.02825, 0.006254, 0.4059, 0.9708, 0.7358, 1.538, 0.006873, 0.006873
"/Users/aybukeekiz/Desktop/maestro-v3.0.0/2013/ORIG-MIDI_03_7_6_13_Group__MID--AUDIO_09_R1_2013_wav--3.midi",0.06059, 0.1692, 0.955, 0.8419, 11.37, 3.392, 1.0, 0.1441, 0.8571, 0.01336, 0.1107, 0.2549, 0.1964, 0.06622, 0.0256, 0.04174, 0.08848, 0.02226, 0.07234, 0.2187, 0.4851, 14.4, 0.7904, 0.8794, 0.2041, 0.007642, 5.459E-4, 0.4864, 1.0, 0.3926, 4.096, 0.006497, 0.006497
"/Users/aybukeekiz/Desktop/maestro-v3.0.0/2013/ORIG-MIDI_02_7_7_13_Group__MID--AUDIO_18_R1_2013_wav--1.midi",0.08568, 0.174, 0.7863, 0.9135, 9.629, 3.491, 1.0, 0.09549, 0.7606, 0.00807, 0.04842, 0.121, 0.1486, 0.05245, 0.02959, 0.05245, 0.1076, 0.04304, 0.05918, 0.3779, 0.4685, 15.32, 0.03728, 0.1413, 0.8476, 0.2263, 0.03139, 0.3885, 0.4158, 1.489, 1.022, 0.00821, 0.00821
"/Users/aybukeekiz/Desktop/maestro-v3.0.0/2013/ORIG-MIDI_01_7_7_13_Group__MID--AUDIO_14_R1_2013_wav--1.midi",0.07511, 0.1702, 0.8671, 0.9568, 9.544, 3.332, 1.0, 0.1359, 0.7529, 0.001066, 0.0943, 0.2302, 0.1497, 0.05221, 0.02664, 0.04529, 0.08631, 0.0341, 0.03729, 0.3372, 0.4624, 14.71, 0.6696, 0.8162, 0.3141, 0.03466, 0.003676, 0.5399, 1.0, 0.6071, 8.509, 0.007014, 0.007014
"/Users/aybukeekiz/Desktop/maestro-v3.0.0/2013/ORIG-MIDI_01_7_8_13_Group__MID--AUDIO_02_R2_2013_wav--5.midi",0.03669, 0.1637, 0.9401, 0.9184, 18.12, 3.454, 9.0, 0.2106, 0.3177, 0.0064, 0.05687, 0.08886, 0.1232, 0.03858, 0.01317, 0.04334, 0.07497, 0.04919, 0.2106, 0.3516, 0.4774, 22.6, 0.9469, 0.9799, 0.05208, 0.00372, 6.764E-4, 0.8794, 1.0, 0.2329, 19.59, 0.006448, 0.006448
"/Users/aybukeekiz/Desktop/maestro-v3.0.0/2013/ORIG-MIDI_03_7_8_13_Group__MID--AUDIO_17_R2_2013_wav--3.midi",0.04253, 0.1435, 0.7568, 0.7632, 16.3, 3.384, 9.0, 0.1351, 0.8851, 0.01128, 0.03704, 0.101, 0.1906, 0.05508, 0.03071, 0.04849, 0.09602, 0.0353, 0.1351, 0.2964, 0.4821, 18.71, 0.9158, 0.9532, 0.08013, 0.009688, 7.389E-4, 0.8057, 1.0, 0.3297, 15.68, 0.00651, 0.00651
"/Users/aybukeekiz/Desktop/maestro-v3.0.0/2013/ORIG-MIDI_01_7_6_13_Group__MID--AUDIO_02_R1_2013_wav--4.midi",0.1973, 0.2682, 0.894, 0.9797, 12.2, 3.419, 2.0, 0.2117, 0.5455, 0.003666, 0.001833, 0.01008, 0.1412, 0.02475, 0.01192, 0.2117, 0.1732, 0.0165, 0.04766, 0.3593, 0.4627, 20.97, 0.2791, 0.6409, 0.6564, 0.1, 0.01636, 0.3618, 0.5729, 1.201, 0.8428, 0.006594, 0.006594
"/Users/aybukeekiz/Desktop/maestro-v3.0.0/2013/ORIG-MIDI_02_7_10_13_Group_MID--AUDIO_14_R3_2013_wav--2.midi",0.04947, 0.1388, 0.9658, 0.9245, 12.94, 3.434, 7.0, 0.213, 0.3237, 0.01081, 0.02983, 0.07912, 0.1011, 0.06894, 0.03072, 0.06126, 0.09305, 0.04242, 0.213, 0.2996, 0.4564, 18.65, 0.6773, 0.7864, 0.285, 0.0657, 0.004904, 0.5187, 1.0, 0.8418, 5.451, 0.006621, 0.006621
"/Users/aybukeekiz/Desktop/maestro-v3.0.0/2013/ORIG-MIDI_02_7_6_13_Group__MID--AUDIO_08_R1_2013_wav--5.midi",0.03639, 0.1369, 0.9823, 0.9812, 15.86, 3.447, 1.0, 0.1213, 0.8678, 0.04477, 0.08086, 0.1296, 0.2265, 0.06983, 0.03675, 0.0411, 0.1139, 0.0274, 0.05246, 0.2576, 0.4589, 18.32, 0.99, 0.9997, 0.009984, 0.0, 0.0, 0.9172, 1.0, 0.05074, 26.33, 0.006584, 0.006584
"/Users/aybukeekiz/Desktop/maestro-v3.0.0/2013/ORIG-MIDI_01_7_10_13_Group_MID--AUDIO_07_R3_2013_wav--3.midi",0.05364, 0.1645, 0.9531, 0.935, 13.2, 3.392, 10.0, 0.1038, 0.9787, 0.0106, 0.03642, 0.138, 0.1289, 0.05188, 0.02208, 0.04945, 0.09757, 0.03466, 0.1038, 0.3631, 0.4647, 19.96, 0.6, 0.7723, 0.3909, 0.02242, 0.002933, 0.3788, 1.0, 0.577, 1.716, 0.006273, 0.006273
"/Users/aybukeekiz/Desktop/maestro-v3.0.0/2013/ORIG-MIDI_02_7_7_13_Group__MID--AUDIO_15_R1_2013_wav--1.midi",0.08624, 0.1745, 0.771, 0.9094, 9.646, 3.485, 1.0, 0.1039, 0.9392, 0.009825, 0.04842, 0.146, 0.16, 0.05053, 0.03298, 0.05123, 0.1067, 0.0414, 0.05684, 0.3446, 0.4437, 15.72, 0.05003, 0.1995, 0.8703, 0.154, 0.02107, 0.3015, 0.8188, 1.215, 0.8748, 0.01119, 0.01119
"/Users/aybukeekiz/Desktop/maestro-v3.0.0/2013/ORIG-MIDI_03_7_8_13_Group__MID--AUDIO_18_R2_2013_wav--4.midi",0.04412, 0.1326, 0.9245, 0.81, 12.49, 3.377, 9.0, 0.08948, 0.9431, 0.006573, 0.06213, 0.1285, 0.1429, 0.06404, 0.04177, 0.05428, 0.09881, 0.03753, 0.08439, 0.3412, 0.4785, 18.54, 0.6277, 0.816, 0.3548, 0.03059, 0.002706, 0.3347, 0.8756, 0.606, 1.207, 0.006392, 0.006392
"/Users/aybukeekiz/Desktop/maestro-v3.0.0/2013/ORIG-MIDI_02_7_10_13_Group_MID--AUDIO_12_R3_2013_wav--3.midi",0.06275, 0.1477, 0.9865, 0.8369, 12.69, 3.481, 2.0, 0.1897, 0.4231, 0.02127, 0.03223, 0.2219, 0.1359, 0.06117, 0.04078, 0.08025, 0.09252, 0.03683, 0.07455, 0.2348, 0.4792, 15.86, 0.8172, 0.9271, 0.1764, 0.009508, 8.451E-4, 0.5891, 1.0, 0.393, 4.359, 0.006406, 0.006406
"/Users/aybukeekiz/Desktop/maestro-v3.0.0/2013/ORIG-MIDI_02_7_6_13_Group__MID--AUDIO_07_R1_2013_wav--2.midi",0.06316, 0.1566, 0.904, 0.9935, 11.1, 3.364, 1.0, 0.1489, 0.8345, 0.01489, 0.1016, 0.2259, 0.2202, 0.04209, 0.04466, 0.05133, 0.0847, 0.03183, 0.06263, 0.2218, 0.4627, 13.51, 0.5048, 0.764, 0.48, 0.03537, 0.003032, 0.4017, 0.6453, 0.5586, 1.555, 0.006648, 0.006648
"/Users/aybukeekiz/Desktop/maestro-v3.0.0/2013/ORIG-MIDI_01_7_6_13_Group__MID--AUDIO_03_R1_2013_wav--4.midi",0.04804, 0.1443, 0.7844, 0.8527, 14.52, 3.406, 8.0, 0.1552, 0.4537, 0.01513, 0.02521, 0.06853, 0.1128, 0.05789, 0.04762, 0.07021, 0.0958, 0.05173, 0.1552, 0.3251, 0.4606, 20.07, 0.8304, 0.9077, 0.1543, 0.03018, 0.003571, 0.6223, 1.0, 0.6097, 4.854, 0.006317, 0.006317
"/Users/aybukeekiz/Desktop/maestro-v3.0.0/2013/ORIG-MIDI_02_7_8_13_Group__MID--AUDIO_12_R2_2013_wav--3.midi",0.04618, 0.1419, 0.9528, 0.9818, 14.21, 3.432, 9.0, 0.1082, 0.7, 0.009598, 0.0533, 0.1131, 0.1452, 0.06535, 0.04268, 0.0484, 0.08965, 0.03512, 0.1082, 0.3427, 0.4625, 20.63, 0.6805, 0.829, 0.2992, 0.0321, 0.003765, 0.4481, 1.0, 0.6779, 3.345, 0.006359, 0.006359
"/Users/aybukeekiz/Desktop/maestro-v3.0.0/2013/ORIG-MIDI_02_7_6_13_Group__MID--AUDIO_06_R1_2013_wav--2.midi",0.06285, 0.1552, 0.932, 0.9917, 9.604, 3.412, 1.0, 0.1365, 0.7628, 0.002187, 0.1041, 0.2406, 0.108, 0.03631, 0.02056, 0.03456, 0.08836, 0.03718, 0.04068, 0.3915, 0.4687, 15.61, 0.2471, 0.5943, 0.7097, 0.1201, 0.007268, 0.3472, 0.6281, 0.9443, 1.034, 0.008802, 0.008802
"/Users/aybukeekiz/Desktop/maestro-v3.0.0/2013/ORIG-MIDI_03_7_8_13_Group__MID--AUDIO_19_R2_2013_wav--4.midi",0.04165, 0.1712, 0.9531, 0.6321, 14.93, 3.467, 10.0, 0.2139, 0.3023, 0.009092, 0.04392, 0.1086, 0.09573, 0.04581, 0.0187, 0.04804, 0.076, 0.05215, 0.2139, 0.332, 0.4886, 20.62, 0.7125, 0.8833, 0.2839, 0.01139, 0.0, 0.5081, 1.0, 0.3723, 3.224, 0.006365, 0.006365
"/Users/aybukeekiz/Desktop/maestro-v3.0.0/2013/ORIG-MIDI_03_7_10_13_Group_MID--AUDIO_17_R3_2013_wav--3.midi",0.04208, 0.1224, 0.8985, 0.7941, 12.24, 3.417, 9.0, 0.1106, 0.8398, 0.009023, 0.03037, 0.06756, 0.1801, 0.057, 0.03367, 0.05931, 0.09804, 0.03004, 0.09287, 0.3724, 0.4769, 19.51, 0.5342, 0.668, 0.4271, 0.07828, 0.009077, 0.3343, 1.0, 0.9652, 1.559, 0.006763, 0.006763
"/Users/aybukeekiz/Desktop/maestro-v3.0.0/2013/ORIG-MIDI_02_7_6_13_Group__MID--AUDIO_05_R1_2013_wav--2.midi",0.04433, 0.1337, 0.9218, 0.929, 15.74, 3.566, 9.0, 0.08109, 0.9789, 0.01292, 0.05852, 0.1279, 0.1468, 0.06724, 0.02272, 0.03969, 0.09245, 0.02521, 0.08109, 0.384, 0.468, 20.56, 0.8676, 0.9133, 0.1187, 0.02066, 0.00392, 0.6678, 1.0, 0.6823, 8.845, 0.006517, 0.006517
"/Users/aybukeekiz/Desktop/maestro-v3.0.0/2013/ORIG-MIDI_01_7_8_13_Group__MID--AUDIO_02_R2_2013_wav--2.midi",0.1273, 0.1822, 0.9268, 0.875, 13.42, 3.305, 4.0, 0.1878, 0.4551, 0.01266, 0.04958, 0.09916, 0.1308, 0.03692, 0.04325, 0.1878, 0.1034, 0.02637, 0.07068, 0.289, 0.4231, 17.12, 0.5797, 0.7557, 0.3344, 0.1087, 0.03209, 0.3323, 1.0, 1.58, 1.235, 0.006467, 0.006467
"/Users/aybukeekiz/Desktop/maestro-v3.0.0/2013/ORIG-MIDI_02_7_8_13_Group__MID--AUDIO_08_R2_2013_wav--3.midi",0.05957, 0.1762, 0.7575, 0.7419, 14.85, 3.598, 2.0, 0.1083, 0.7056, 0.01044, 0.07639, 0.1409, 0.1669, 0.05679, 0.04323, 0.04708, 0.08335, 0.02583, 0.06778, 0.3578, 0.4919, 19.3, 0.8336, 0.9262, 0.1625, 0.009809, 0.001962, 0.6144, 1.0, 0.4251, 2.995, 0.006438, 0.006438
"/Users/aybukeekiz/Desktop/maestro-v3.0.0/2013/ORIG-MIDI_02_7_7_13_Group__MID--AUDIO_17_R1_2013_wav--1.midi",0.06885, 0.1537, 0.9146, 0.9563, 9.456, 3.391, 1.0, 0.166, 0.6425, 0.003439, 0.1066, 0.2726, 0.1058, 0.03697, 0.01978, 0.05245, 0.07911, 0.04299, 0.03353, 0.3534, 0.5142, 15.05, 0.6398, 0.8741, 0.3342, 0.04618, 0.004198, 0.4265, 1.0, 0.8341, 2.023, 0.008479, 0.008479
